poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,party,answer,candidate_id,candidate_name,pct
81579,262,Landmark Communications,"1937,1938",WANF | WPCH-TV,Landmark Communications,166,Landmark Communications,A,,Georgia,11/4/22,11/7/22,,"",,165126,1214,lv,,lv,,11/7/22 09:26,"",https://www.atlantanewsfirst.com/2022/11/07/exclusive-gov-brian-kemp-leads-stacey-abrams-final-poll-ahead-election-senate-race-tied/,"",false,,8925,2022,U.S. Senate,2,Class III,11/8/22,general,false,false,DEM,Warnock,19086,Raphael Warnock,46.4
81579,262,Landmark Communications,"1937,1938",WANF | WPCH-TV,Landmark Communications,166,Landmark Communications,A,,Georgia,11/4/22,11/7/22,,"",,165126,1214,lv,,lv,,11/7/22 09:26,"",https://www.atlantanewsfirst.com/2022/11/07/exclusive-gov-brian-kemp-leads-stacey-abrams-final-poll-ahead-election-senate-race-tied/,"",false,,8925,2022,U.S. Senate,2,Class III,11/8/22,general,false,false,REP,Walker,19088,Herschel Junior Walker,46.8
81579,262,Landmark Communications,"1937,1938",WANF | WPCH-TV,Landmark Communications,166,Landmark Communications,A,,Georgia,11/4/22,11/7/22,,"",,165126,1214,lv,,lv,,11/7/22 09:26,"",https://www.atlantanewsfirst.com/2022/11/07/exclusive-gov-brian-kemp-leads-stacey-abrams-final-poll-ahead-election-senate-race-tied/,"",false,,8925,2022,U.S. Senate,2,Class III,11/8/22,general,false,false,LIB,Oliver,29535,Chase Oliver,4.5
81604,1447,Civiqs,"","",Civiqs,471,Civiqs,B-,Online,Wisconsin,11/4/22,11/7/22,,"",,165207,739,lv,,lv,,11/7/22 16:33,"",https://civiqs.com/documents/Civiqs_WI_banner_book_2022_11_a8h938.pdf,"",false,,8951,2022,U.S. Senate,2,Class III,11/8/22,general,false,false,DEM,Barnes,28662,Mandela Barnes,49.0
81604,1447,Civiqs,"","",Civiqs,471,Civiqs,B-,Online,Wisconsin,11/4/22,11/7/22,,"",,165207,739,lv,,lv,,11/7/22 16:33,"",https://civiqs.com/documents/Civiqs_WI_banner_book_2022_11_a8h938.pdf,"",false,,8951,2022,U.S. Senate,2,Class III,11/8/22,general,false,false,REP,Johnson,19211,Ron Johnson,50.0
81605,1447,Civiqs,"","",Civiqs,471,Civiqs,B-,Online,Ohio,11/4/22,11/7/22,,"",,165208,716,lv,,lv,,11/7/22 16:33,"",https://civiqs.com/documents/Civiqs_OH_banner_book_2022_11_p2sz56.pdf,"",false,,8942,2022,U.S. Senate,2,Class III,11/8/22,general,false,false,DEM,Ryan,19168,Tim Ryan,46.0
81605,1447,Civiqs,"","",Civiqs,471,Civiqs,B-,Online,Ohio,11/4/22,11/7/22,,"",,165208,716,lv,,lv,,11/7/22 16:33,"",https://civiqs.com/documents/Civiqs_OH_banner_book_2022_11_p2sz56.pdf,"",false,,8942,2022,U.S. Senate,2,Class III,11/8/22,general,false,false,REP,Vance,19167,J.D. Vance,51.0
81606,1447,Civiqs,"","",Civiqs,471,Civiqs,B-,Online,Indiana,11/4/22,11/7/22,,"",,165209,707,lv,,lv,,11/7/22 16:33,"",https://civiqs.com/documents/Civiqs_IN_banner_book_2022_11_8az47b.pdf,"",false,,8929,2022,U.S. Senate,2,Class III,11/8/22,general,false,false,DEM,McDermott,29603,Thomas McDermott,38.0
81606,1447,Civiqs,"","",Civiqs,471,Civiqs,B-,Online,Indiana,11/4/22,11/7/22,,"",,165209,707,lv,,lv,,11/7/22 16:33,"",https://civiqs.com/documents/Civiqs_IN_banner_book_2022_11_8az47b.pdf,"",false,,8929,2022,U.S. Senate,2,Class III,11/8/22,general,false,false,REP,Young,29282,Todd Young,49.0
81607,1447,Civiqs,"","",Civiqs,471,Civiqs,B-,Online,Missouri,11/4/22,11/7/22,,"",,165210,746,lv,,lv,,11/7/22 16:33,"",https://civiqs.com/documents/Civiqs_MO_banner_book_2022_11_g9c7re.pdf,"",false,,8936,2022,U.S. Senate,2,Class III,11/8/22,general,false,false,DEM,Busch Valentine,30129,Trudy Busch Valentine,40.0
