poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,party,answer,candidate_id,candidate_name,pct
73993,1528,AtlasIntel,"","",AtlasIntel,546,AtlasIntel,A,Live Phone/Online,Georgia,1/2/21,1/4/21,,"",,138823,857,lv,,lv,,1/4/21 19:35,"",https://projects.fivethirtyeight.com/polls/20210104_GA_AtlasIntel.pdf,538,false,,8737,2020,U.S. Senate,0,Class II,1/5/21,runoff,false,false,DEM,Ossoff,14567,Jon Ossoff,51.3
73993,1528,AtlasIntel,"","",AtlasIntel,546,AtlasIntel,A,Live Phone/Online,Georgia,1/2/21,1/4/21,,"",,138823,857,lv,,lv,,1/4/21 19:35,"",https://projects.fivethirtyeight.com/polls/20210104_GA_AtlasIntel.pdf,538,false,,8737,2020,U.S. Senate,0,Class II,1/5/21,runoff,false,false,REP,Perdue,14568,David A. Perdue,46.8
73993,1528,AtlasIntel,"","",AtlasIntel,546,AtlasIntel,A,Live Phone/Online,Georgia,1/2/21,1/4/21,,"",,138824,857,lv,,lv,,1/4/21 19:35,"",https://projects.fivethirtyeight.com/polls/20210104_GA_AtlasIntel.pdf,538,false,,7781,2020,U.S. Senate,2,Class III,1/5/21,runoff,false,false,DEM,Warnock,14489,Raphael Warnock,50.8
73993,1528,AtlasIntel,"","",AtlasIntel,546,AtlasIntel,A,Live Phone/Online,Georgia,1/2/21,1/4/21,,"",,138824,857,lv,,lv,,1/4/21 19:35,"",https://projects.fivethirtyeight.com/polls/20210104_GA_AtlasIntel.pdf,538,false,,7781,2020,U.S. Senate,2,Class III,1/5/21,runoff,false,false,REP,Loeffler,13671,Kelly Loeffler,46.9
74006,1250,Trafalgar Group,"","",Trafalgar Group,338,Trafalgar Group,A-,IVR/Online/Text,Georgia,1/2/21,1/4/21,,"",,138845,1056,lv,,lv,,1/5/21 09:57,"",https://www.thetrafalgargroup.org/news/ga-sen-0105/,538,false,REP,8737,2020,U.S. Senate,0,Class II,1/5/21,runoff,false,false,DEM,Ossoff,14567,Jon Ossoff,49.4
74006,1250,Trafalgar Group,"","",Trafalgar Group,338,Trafalgar Group,A-,IVR/Online/Text,Georgia,1/2/21,1/4/21,,"",,138845,1056,lv,,lv,,1/5/21 09:57,"",https://www.thetrafalgargroup.org/news/ga-sen-0105/,538,false,REP,8737,2020,U.S. Senate,0,Class II,1/5/21,runoff,false,false,REP,Perdue,14568,David A. Perdue,48.5
74006,1250,Trafalgar Group,"","",Trafalgar Group,338,Trafalgar Group,A-,IVR/Online/Text,Georgia,1/2/21,1/4/21,,"",,138846,1056,lv,,lv,,1/5/21 09:57,"",https://www.thetrafalgargroup.org/news/ga-sen-0105/,538,false,REP,7781,2020,U.S. Senate,2,Class III,1/5/21,runoff,false,false,DEM,Warnock,14489,Raphael Warnock,48.4
74006,1250,Trafalgar Group,"","",Trafalgar Group,338,Trafalgar Group,A-,IVR/Online/Text,Georgia,1/2/21,1/4/21,,"",,138846,1056,lv,,lv,,1/5/21 09:57,"",https://www.thetrafalgargroup.org/news/ga-sen-0105/,538,false,REP,7781,2020,U.S. Senate,2,Class III,1/5/21,runoff,false,false,REP,Loeffler,13671,Kelly Loeffler,49.7
73992,235,InsiderAdvantage,195,Fox 5 Atlanta,InsiderAdvantage,243,Opinion Savvy/InsiderAdvantage,B,IVR/Live Phone,Georgia,1/3/21,1/3/21,,"",,138821,500,lv,,lv,,1/4/21 16:12,"",https://insideradvantage.com/2021/01/04/breaking-final-insideradvantage-poll-deadlocked-senate-runoffs/,538,false,,8737,2020,U.S. Senate,0,Class II,1/5/21,runoff,false,false,DEM,Ossoff,14567,Jon Ossoff,48.6
73992,235,InsiderAdvantage,195,Fox 5 Atlanta,InsiderAdvantage,243,Opinion Savvy/InsiderAdvantage,B,IVR/Live Phone,Georgia,1/3/21,1/3/21,,"",,138821,500,lv,,lv,,1/4/21 16:12,"",https://insideradvantage.com/2021/01/04/breaking-final-insideradvantage-poll-deadlocked-senate-runoffs/,538,false,,8737,2020,U.S. Senate,0,Class II,1/5/21,runoff,false,false,REP,Perdue,14568,David A. Perdue,48.7
